FILE OF DATA FOR PAR_LINE:
Number of Lines, Columns
6 3
DATA
275.000000 52.000000 22.874670 241.083113
290.104222 89.104222 77.333773 242.349604
307.201847 123.299472 131.159631 245.515831
323.032982 156.861478 184.985488 248.682058
336.331135 185.990765 237.544855 247.415567
348.996042 215.753298 290.104222 253.114776
